"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out","ident.1","ident.2"
"CD68","BIDMC_1",0.567700428296767,0.0357829115672554,68671444993.25,0.581675050169705,0,0,99.9455210291788,99.8040326364333,"BIDMC_1","BIDMC_10"
"FoxP3","BIDMC_1",0.416653888086074,0.107423536107855,86604460691.4873,0.733574981895208,0,0,99.0190824438556,98.922608625997,"BIDMC_1","BIDMC_10"
"PD1","BIDMC_1",0.451027225001672,0.0922335870240011,79047773764.9375,0.669566772259461,0,0,99.8291610534575,99.1932438463387,"BIDMC_1","BIDMC_10"
"Pax5","BIDMC_1",0.692617244944201,0.0180332711023259,63759354811.4375,0.540067649841595,0,0,99.7515877363099,99.7642669962351,"BIDMC_1","BIDMC_10"
"H3K27ac","BIDMC_1",0.872516179186814,0.182874598993235,112736974891.188,0.954927998562693,0,0,99.9967431050053,99.8661128085413,"BIDMC_1","BIDMC_10"
"GranzymeB","BIDMC_1",0.559302139690613,0.156050832700053,97955361567.375,0.829721725816241,0,0,99.8780144783787,99.5662970464714,"BIDMC_1","BIDMC_10"
"CD31","BIDMC_1",0.853130283200949,0.213845626358832,114893497584.812,0.973194622282781,0,0,99.992597965921,99.8492338677378,"BIDMC_1","BIDMC_10"
"IDO1","BIDMC_1",0.80832549379455,0.290008543534382,115647123214.75,0.979578137674748,0,0,99.9760174095841,99.8209115772369,"BIDMC_1","BIDMC_10"
"CD138","BIDMC_1",0.753327694731925,0.117647795132348,105673540161.812,0.895097835516269,0,0,99.8623221661312,99.8220559122066,"BIDMC_1","BIDMC_10"
"NAKATPase","BIDMC_1",0.90766610659041,0.185063661521486,114858569889.562,0.972898770507871,0,0,99.957068202342,99.9213269708309,"BIDMC_1","BIDMC_10"
"CD45RA","BIDMC_1",0.783400696002184,0.17394038727261,98284745987.8125,0.832511745733572,0,0,99.8723889324787,99.7797155183265,"BIDMC_1","BIDMC_10"
"Cytokeratin","BIDMC_1",0.628613573335466,0.110358832704677,101291871720.438,0.857983322916245,0,0,99.8877851633629,99.9216130545733,"BIDMC_1","BIDMC_10"
"Hoechst","BIDMC_10",0.652656480703725,0.000708563389872463,58534631144.25,0.495812116824446,1.82579411523033e-09,1.82579411523033e-09,99.828921922025,99.7104324268309,"BIDMC_1","BIDMC_10"
"CD3","BIDMC_10",0.462346931024548,-0.0707477918564687,48027086728.125,0.406808944894531,0,0,99.7960222916452,99.8963715228945,"BIDMC_1","BIDMC_10"
"CD45","BIDMC_10",0.72648883196638,-0.0988798536269265,26592374478,0.225248220132002,0,0,99.8861386705116,99.9191697878577,"BIDMC_1","BIDMC_10"
"CD15","BIDMC_10",0.157896592788872,-0.0305213724661999,51738394337.4375,0.438245228783042,0,0,99.6183642875943,99.7583976076626,"BIDMC_1","BIDMC_10"
"CD4","BIDMC_10",0.64651776129026,-0.242228953361867,1800508358.0625,0.0152510375980864,0,0,99.9181800496641,99.9848998504789,"BIDMC_1","BIDMC_10"
"CD8","BIDMC_10",0.363687413852862,0.00832952023253958,63276793414.0938,0.535980158672049,0,0,99.6690011100049,99.8099157648522,"BIDMC_1","BIDMC_10"
"CD11b","BIDMC_10",0.312110478902499,0.282876330536871,112922295665.719,0.956497740845435,0,0,99.3860642887386,21.8845578765045,"BIDMC_1","BIDMC_10"
"ToxTox2","BIDMC_10",0.606458023587737,-0.0907104233999211,36326204214.375,0.307697714252969,0,0,99.869831897193,99.9677271314157,"BIDMC_1","BIDMC_10"
"CD20","BIDMC_10",0.604217195460362,-0.0824453124663646,36278925401.5,0.307297243491742,0,0,99.8040326364333,99.8608417593154,"BIDMC_1","BIDMC_10"
"CD11c","BIDMC_10",0.393126259133548,-0.201425210228614,18931820590,0.160360215116699,0,0,99.7104832526577,99.9579564464315,"BIDMC_1","BIDMC_10"
"H3K27me3","BIDMC_10",0.672723675781027,-0.153374358342285,14780616883.9375,0.125197832495714,0,0,99.9147470447549,99.9523309005315,"BIDMC_1","BIDMC_10"
