"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out","ident.1","ident.2"
"PDL1","Stanford_OSCC_Tris_10min",0.728092336868245,0.267035189045332,320035198,0.986177426988126,0,0,100,99.685468651709,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"PD1","Stanford_OSCC_Tris_10min",0.822016269136774,0.26672678680021,323904985.5,0.998102043729003,0,0,100,99.685468651709,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"pSTAT1","Stanford_OSCC_Tris_10min",0.809745988209075,0.279300483704696,316368070.5,0.974877300049003,0,0,100,99.6540155168799,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"pSTAT3","Stanford_OSCC_Tris_10min",0.813632188118798,0.273661145724191,313762212.5,0.966847438478788,0,0,100,99.6330467603271,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"FOXP3","Stanford_OSCC_Tris_10min",0.662443765502596,0.260054506231795,312563093,0.963152393088307,0,0,100,99.6959530299853,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"CD4","Stanford_OSCC_Tris_10min",0.768283920195118,0.204162068336097,273750709.5,0.843553371685335,0,0,100,99.6907108408471,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"pNFkB","Stanford_OSCC_Tris_10min",0.71275683413873,0.307658300443504,322020303,0.992294459594025,0,0,100,99.6435311386035,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"Neurofilament","Stanford_OSCC_Tris_10min",0.721791192181403,0.256766845945599,318207148.5,0.980544355489794,0,0,100,99.6330467603271,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"pMK2","Stanford_OSCC_Tris_10min",0.498655056623032,0.138939305231145,277623290.5,0.855486596500136,0,0,99.994121796379,99.6749842734326,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"CD31","Stanford_OSCC_Tris_10min",0.523581095290069,0.132780613776703,252014519.5,0.776574051720895,0,0,100,99.6644998951562,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"CD20","Stanford_OSCC_Tris_10min",0.926514274945937,0.0373507815189823,250609365.5,0.772244118123272,0,0,100,99.260851331516,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"CD8","Stanford_OSCC_Tris_10min",0.670098288275094,0.136979108599484,221091926,0.681287146142373,0,0,100,99.6382889494653,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"VEGF","Stanford_OSCC_Tris_10min",0.539437603608585,0.196626888661213,308775533,0.951481157553261,0,0,100,99.6382889494653,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"CD3","Stanford_OSCC_Tris_10min",0.717850008974607,0.102668524648836,211922343.5,0.653031393859758,0,0,100,99.6487733277417,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
"pCREB","Stanford_OSCC_Tris_10min",0.655933793897608,0.0530156865452837,197079737.5,0.60729441528255,4.04452154641036e-272,4.25193290776474e-272,99.8941923348225,99.8532187041308,"Stanford_OSCC_Citra_20min","Stanford_OSCC_Tris_10min"
