"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"CD31","Stanford_Slide5","Stanford_Slide13",-0.60678542168682,"",-0.618322124890405,-0.595248718483234
"CD31","Stanford_Slide5","Stanford_Slide14",0.0790531304178899,"small",0.0676306699795166,0.0904755908562632
"CD31","Stanford_Slide15","Stanford_Slide16",-0.352676727168056,"",-0.363711936302928,-0.341641518033185
"CD31","Stanford_Slide15","Stanford_Slide21",-0.422051319767582,"",-0.433276587974661,-0.410826051560503
"CD31","Stanford_Slide15","Stanford_Slide22",0.881749896178802,"large",0.870184723980338,0.893315068377266
"CD31","Stanford_Slide15","Stanford_Slide6",0.631312884085255,"medium",0.620051411272538,0.642574356897971
"CD31","Stanford_Slide15","Stanford_Slide23",-1.85416715037179,"",-1.86748803222933,-1.84084626851426
"CD31","Stanford_Slide15","Stanford_Slide24",0.164734323630198,"small",0.153716721655868,0.175751925604527
"CD31","Stanford_Slide15","Stanford_Slide7",-0.583821461025052,"",-0.594742591355596,-0.572900330694508
"CD31","Stanford_Slide15","Stanford_Slide8",0.325392100538212,"medium",0.31441644843525,0.336367752641174
"CD31","Stanford_Slide15","Stanford_Slide13",-0.728038979785057,"",-0.739394144878991,-0.716683814691124
"CD31","Stanford_Slide15","Stanford_Slide14",0.0935925528429784,"small",0.0824489152066798,0.104736190479277
"CD31","Stanford_Slide16","Stanford_Slide21",-0.181346149969749,"",-0.19242265318896,-0.170269646750539
"CD31","Stanford_Slide16","Stanford_Slide22",1.19591851244775,"large",1.18398426578575,1.20785275910975
"CD31","Stanford_Slide16","Stanford_Slide6",1.01261551398158,"large",1.00099349152081,1.02423753644235
"CD31","Stanford_Slide16","Stanford_Slide23",-1.44871838583461,"",-1.46118050966556,-1.43625626200366
"CD31","Stanford_Slide16","Stanford_Slide24",0.546812084317953,"medium",0.53565940846063,0.557964760175277
"CD31","Stanford_Slide16","Stanford_Slide7",-0.189000508358771,"",-0.199670157074339,-0.178330859643204
"CD31","Stanford_Slide16","Stanford_Slide8",0.767021187151734,"medium",0.755774879132044,0.778267495171424
"CD31","Stanford_Slide16","Stanford_Slide13",-0.474164789275872,"",-0.485265229391199,-0.463064349160546
"CD31","Stanford_Slide16","Stanford_Slide14",0.456494658759658,"medium",0.445262186009112,0.467727131510204
"CD31","Stanford_Slide21","Stanford_Slide22",1.01006311346299,"large",0.998230254894014,1.02189597203196
"CD31","Stanford_Slide21","Stanford_Slide6",0.831292203438886,"large",0.819729109264482,0.842855297613291
"CD31","Stanford_Slide21","Stanford_Slide23",-0.78741030169259,"",-0.799081047148467,-0.775739556236714
"CD31","Stanford_Slide21","Stanford_Slide24",0.542887782553466,"medium",0.53158328288225,0.554192282224683
"CD31","Stanford_Slide21","Stanford_Slide7",0.0667877309861895,"small",0.0559825199741208,0.0775929419982582
"CD31","Stanford_Slide21","Stanford_Slide8",0.653774310708336,"medium",0.642476854868021,0.66507176654865
"CD31","Stanford_Slide21","Stanford_Slide13",-0.226373272377015,"",-0.23750844055552,-0.21523810419851
"CD31","Stanford_Slide21","Stanford_Slide14",0.486200381633054,"medium",0.47479631396096,0.497604449305148
"CD31","Stanford_Slide22","Stanford_Slide6",-0.414740283934047,"",-0.425890984060472,-0.403589583807622
"CD31","Stanford_Slide22","Stanford_Slide23",-2.63464992396678,"",-2.64993141058573,-2.61936843734783
"CD31","Stanford_Slide22","Stanford_Slide24",-0.809854326298716,"",-0.821338606879923,-0.798370045717509
"CD31","Stanford_Slide22","Stanford_Slide7",-1.49310962803359,"",-1.50524779709655,-1.48097145897063
"CD31","Stanford_Slide22","Stanford_Slide8",-0.82757276059725,"",-0.838977191711132,-0.816168329483368
"CD31","Stanford_Slide22","Stanford_Slide13",-1.3306155578754,"",-1.34281438495503,-1.31841673079576
"CD31","Stanford_Slide22","Stanford_Slide14",-0.823741278828897,"",-0.835384293143991,-0.812098264513803
"CD31","Stanford_Slide6","Stanford_Slide23",-2.80076647551858,"",-2.81643166438843,-2.78510128664874
"CD31","Stanford_Slide6","Stanford_Slide24",-0.527184405012031,"",-0.538364223690448,-0.516004586333614
"CD31","Stanford_Slide6","Stanford_Slide7",-1.3738310671466,"",-1.38570929375032,-1.36195284054288
"CD31","Stanford_Slide6","Stanford_Slide8",-0.523821763628774,"",-0.534902247872458,-0.512741279385089
"CD31","Stanford_Slide6","Stanford_Slide13",-1.17683429967716,"",-1.18873577503781,-1.16493282431652
"CD31","Stanford_Slide6","Stanford_Slide14",-0.558299090224512,"",-0.569642911291619,-0.546955269157406
"CD31","Stanford_Slide23","Stanford_Slide24",2.2278495867497,"large",2.21366923559262,2.24202993790678
"CD31","Stanford_Slide23","Stanford_Slide7",1.40898233178964,"large",1.39687726785259,1.42108739572668
"CD31","Stanford_Slide23","Stanford_Slide8",2.82799882312614,"large",2.81238424027196,2.84361340598032
"CD31","Stanford_Slide23","Stanford_Slide13",0.533448604225182,"medium",0.5221134840822,0.544783724368165
"CD31","Stanford_Slide23","Stanford_Slide14",2.02697270456564,"large",2.01309774885409,2.04084766027719
"CD31","Stanford_Slide24","Stanford_Slide7",-0.830933087260286,"",-0.842079528641025,-0.819786645879548
"CD31","Stanford_Slide24","Stanford_Slide8",0.154806013434267,"small",0.14388642416216,0.165725602706373
"CD31","Stanford_Slide24","Stanford_Slide13",-0.86883503716015,"",-0.880338379490464,-0.857331694829837
"CD31","Stanford_Slide24","Stanford_Slide14",-0.0686459304967194,"",-0.0797862832169134,-0.0575055777765254
"CD31","Stanford_Slide7","Stanford_Slide8",1.15897852184887,"large",1.14752665727098,1.17043038642677
"CD31","Stanford_Slide7","Stanford_Slide13",-0.372612477803258,"",-0.383398150110971,-0.361826805495544
"CD31","Stanford_Slide7","Stanford_Slide14",0.711667727615334,"medium",0.700493799248221,0.722841655982446
"CD31","Stanford_Slide8","Stanford_Slide13",-1.01087024109141,"",-1.02244634427477,-0.999294137908056
"CD31","Stanford_Slide8","Stanford_Slide14",-0.22346394866297,"",-0.234541358495357,-0.212386538830584
"CD31","Stanford_Slide13","Stanford_Slide14",0.799049006930345,"medium",0.787478616265412,0.810619397595279
"CD3e","Stanford_Slide5","Stanford_Slide15",0.568434133852263,"medium",0.556925744909724,0.579942522794803
"CD3e","Stanford_Slide5","Stanford_Slide16",0.194686391540776,"small",0.183424349375024,0.205948433706529
"CD3e","Stanford_Slide5","Stanford_Slide21",0.550758941733718,"medium",0.539161625877639,0.562356257589798
"CD3e","Stanford_Slide5","Stanford_Slide22",0.908093397604523,"large",0.896201095533723,0.919985699675322
"CD3e","Stanford_Slide5","Stanford_Slide6",1.3687142848395,"large",1.35619149646372,1.38123707321529
"CD3e","Stanford_Slide5","Stanford_Slide23",-0.718917934434871,"",-0.730702829179339,-0.707133039690404
"CD3e","Stanford_Slide5","Stanford_Slide24",0.928474100266941,"large",0.916600304567219,0.940347895966664
"CD3e","Stanford_Slide5","Stanford_Slide7",0.126010220902351,"small",0.115011341587496,0.137009100217206
"CD3e","Stanford_Slide5","Stanford_Slide8",2.15783070201047,"large",2.14376768163593,2.171893722385
