"Marker","Condition1","Condition2","Cohens_d","Size_of_effect","Lower_CI","Upper_CI"
"PDL1","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.73121005773833,"large",1.61723877486891,1.84518134060774
"PDL1","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.0767740711755,"large",0.992342930749979,1.16120521160102
"PDL1","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.87136992091236,"large",1.77084194420724,1.97189789761747
"PanCK","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.89580687561153,"large",1.77891381363747,2.01269993758559
"PanCK","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.09523031345398,"large",1.0053161294853,1.18514449742266
"PanCK","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",1.15617452947207,"large",1.07257161524877,1.23977744369537
"Podoplanin","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",2.09417024331103,"large",1.98985580883199,2.19848467779007
"Podoplanin","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",1.59625399479153,"large",1.48618752254931,1.70632046703374
"Podoplanin","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",1.31243454064682,"large",1.22714687469382,1.39772220659981
"SOX9","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.84022131361672,"large",1.72433625787885,1.9561063693546
"SOX9","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.28416961092529,"large",1.19756327232336,1.37077594952722
"SOX9","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",2.81671621302488,"large",2.6984093379383,2.93502308811146
"SOX9","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",0.872620957846958,"large",0.771713039914463,0.973528875779453
"SOX9","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",1.23231258082797,"large",1.14791122070419,1.31671394095174
"VEGF","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",0.908135999404914,"large",0.805496228473176,1.01077577033665
"VEGF","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.95286838935946,"large",1.85098864469322,2.0547481340257
"VEGF","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",1.17474581407997,"large",1.07057575854975,1.2789158696102
"VEGF","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",1.62131298486495,"large",1.53219278991818,1.71043317981172
"aSMA","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.01886147491921,"large",0.934978198225467,1.10274475161296
"aSMA","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.835553360646449,"large",0.748121047878939,0.922985673413958
"pCREB","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.54462641933764,"large",1.43372624140897,1.65552659726631
"pCREB","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.22302693545025,"large",1.13709567514666,1.30895819575384
"pMK2","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.45698683253008,"large",1.34743491584742,1.56653874921273
"pMK2","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.06710699922705,"large",0.982769164486361,1.15144483396773
"pMK2","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",0.889853514540455,"large",0.801952105521575,0.977754923559335
"pNFkB","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",1.8480306857124,"large",1.73200530026496,1.96405607115984
"pNFkB","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.58091310536134,"large",1.49065434181981,1.67117186890288
"pNFkB","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",2.95259527437922,"large",2.83141478320119,3.07377576555724
"pNFkB","Stanford_IMC_Tonsil_Tris_20min","Stanford_IMC_Tonsil_Citra_20min",1.17340415125769,"large",1.06925045144514,1.27755785107025
"pNFkB","Stanford_IMC_Tonsil_Tris_40min","Stanford_IMC_Tonsil_Citra_20min",1.39944520302557,"large",1.31314317530881,1.48574723074233
"pS6","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",2.12564884540666,"large",2.00437091084927,2.24692677996405
"pS6","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_40min",1.13026892460037,"large",1.04530819960552,1.21522964959523
"pS6","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Citra_20min",1.75480041505785,"large",1.65613535677281,1.85346547334289
"pSTAT1","Stanford_IMC_Tonsil_Tris_10min","Stanford_IMC_Tonsil_Tris_20min",2.08108390724237,"large",1.9606824320891,2.20148538239564
