"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out","ident.1","ident.2"
"Hoechst","BIDMC_Tonsil_1",0.655577870356012,-0.00093905904501046,65553831628.8125,0.495471474029734,2.23150616087696e-11,2.23150616087696e-11,99.9240571112536,99.7700846319294,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD3","BIDMC_Tonsil_1",0.650415124568288,-0.0441615811484958,53802963458.25,0.406655613401403,0,0,99.9463446981683,99.8066183761987,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD45","BIDMC_Tonsil_1",0.833102017636913,-0.0259044751772629,48517744513.5625,0.366708669705998,0,0,99.9848664533295,99.8126615519425,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD15","BIDMC_Tonsil_1",0.203818896940373,-0.000520744105235088,67301660893.1406,0.508681983933297,1.17359362144152e-37,1.22249335566825e-37,99.7325489570235,99.4599598403503,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD8","BIDMC_Tonsil_1",0.48255232915145,-0.0329280398715921,59279537937.6875,0.448048867808333,0,0,99.8629726137836,99.5863171513568,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD11b","BIDMC_Tonsil_1",0.546318294566509,-0.0311938874778537,52115513399.75,0.393901463917499,0,0,99.8227999262584,99.3998027727189,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"ToxTox2","BIDMC_Tonsil_1",0.709498075466591,-0.0386728248581901,45765208684.1875,0.345904348267972,0,0,99.9295602191337,99.7478347576,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD20","BIDMC_Tonsil_1",0.758011029727628,-0.0200410038522493,57038862987.3125,0.431113312816368,0,0,99.9501968736844,99.7607451785072,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"CD11c","BIDMC_Tonsil_1",0.634619492322231,-0.0433888123162433,49083568375.5,0.370985301230801,0,0,99.8957161056707,99.6585605704758,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"H3K27me3","BIDMC_Tonsil_1",0.811050057508502,-0.0115824598186971,58547574062.5,0.442516510489707,0,0,99.9832155209655,99.7829950528366,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
"Ki67","BIDMC_Tonsil_1",0.533641077144347,-0.0302055052855698,58870401845.625,0.444956519770452,0,0,99.9336875500439,99.7552513823765,"BIDMC_Tonsil_1","BIDMC_Tonsil_3"
