Staining_condition,DAPI,CD3,CD45,CD15,CD4,CD8,CD11b,Tox.Tox2,CD20,CD11c,H3K27me3,Ki-67,HLA-DRA,pS6,CD68,DC-SIGN,FoxP3,PD-1,Pax5,H3K27ac,GranzymeB,CD31,IDO-1,CD56,CD138,NAK-ATPase,CD45RA,Cytokeratin
BIDMC_20,1,0.20883723896203055,0.14237958110591567,0.0386266338453335,0.16745690743299396,0.18402494435653383,0.07363119187087822,0.44433734268851677,0.15418945086553715,0.09883712071860945,0.2768123278998765,0.46508146887376045,0.11527257649146616,0.11092031608582498,0.08970109065833458,0.12850437290870198,0.19886144845410847,0.3099555310394221,0.16316348734157488,0.30330804065272365,0.15823247014111108,0.15280389676811476,0.12864708369829758,0.19048087703889513,0.16967444198338463,0.1303044617728894,0.12285930201218401,0.12322355321648719
BIDMC_21,1,0.24172701550475822,0.1523132887756099,0.027157768203917163,0.2063034877418135,0.1931034394303797,0.07636285867692884,0.27492577158704606,0.1704877519658127,0.12314848497071379,0.24272893932327458,0.4448724793720851,0.13971435563174028,0.15679486855253802,0.10555639236539334,0.14963421778462077,0.18637563286376815,0.25008767638660817,0.2814286391339114,0.39087500023512445,0.17229166942121943,0.1200646089088726,0.19072447269586612,0.22525011202338235,0.14701454513687112,0.14366251914392675,0.16693999635307902,0.14124786110997942
BIDMC_22,1,0.2817663697317834,0.1701666778176198,0.03983133268126221,0.228641748052253,0.20122951441699613,0.0774092907346643,0.4005232716858432,0.1827659752392563,0.1378727003188031,0.26750495252633005,0.5459648462112122,0.14474766446883502,0.15098493683142372,0.11011529925241204,0.20000004883220926,0.21130195180957545,0.31180432289455745,0.28756381706768025,0.48414488281514606,0.20200690950199424,0.17113434389726043,0.18132498577489942,0.21608374348447124,0.17836954364707153,0.1640055611733711,0.18131077284993155,0.14000065492000646
BIDMC_23,1,0.2764352468127415,0.17491555693534436,0.027113090916811314,0.22755317113080822,0.2171028641486828,0.0900937735460736,0.4826355644225163,0.2076485847655859,0.1313828697304501,0.3300468166905653,0.589684720141527,0.16871813369420607,0.1966183593345523,0.11580800367433775,0.18975543568775272,0.27180188251253684,0.42382312796536764,0.2350431212167618,0.4178479570531555,0.18524358946747038,0.14247400137153704,0.1634395806372246,0.23073587813517035,0.1837391035872562,0.16977137237752757,0.17276504081236227,0.1541609462467758
BIDMC_24,1,0.15696829387936523,0.12366634766153967,0.02629882825365413,0.13399863386627647,0.14378534402598211,0.06275502216585287,0.3161354480658835,0.120257398127468,0.08122701718885435,0.21236938910359285,0.343420515429754,0.09695349962196875,0.08970155407541336,0.07792320835393313,0.10525296935263882,0.13511351828261828,0.22186100170395878,0.12943442732648705,0.22704308697320755,0.12429388688108411,0.10939056739409407,0.09915410406607461,0.14433492133287396,0.13313931242407578,0.10844739046231414,0.10972938890257035,0.10006646221345321
BIDMC_2,1,0.3784354434489766,0.2250955482169169,0.09155966790002906,0.322905087232947,0.24669321250198956,0.14289899630382025,0.5687070218286334,0.28215402416864177,0.19137968600915495,0.3583799279943847,0.7592054539590605,0.1968984773149098,0.19271779790852536,0.16952648825698657,0.3165478794473285,0.35714442204281033,0.4452822326252126,0.412438964135207,0.5885911439746392,0.280455848374876,0.3675641717752698,0.23531391665548762,0.2875660721124864,0.2582699431271467,0.2335134506105591,0.23823227282479628,0.2326283491037831
BIDMC_3,1,0.5397424696725472,0.2635664127013825,0.05783525192090916,0.3771098496930163,0.39009128394232495,0.1558754332971608,1.022225241074665,0.35089811624934863,0.23687593489269526,0.5323052374605926,1.2931736703180547,0.2570480320086673,0.2637895058424541,0.1962081679564816,0.3091271698079356,0.4936000836473041,0.8455866426244575,0.43288049193607137,0.7851959687698005,0.3415815589716035,0.27273870099130426,0.2782759280585771,0.3832705975518498,0.2792796286437248,0.31451745500938266,0.2626607323219442,0.24767863058466233
BIDMC_4,1,0.41395641711899056,0.2576929437227908,0.07334791815025493,0.32887681843970873,0.3770489653661351,0.15008049754141858,1.017223555656157,0.3012032149580573,0.20117224668408118,0.45067297598207523,1.0857546756571843,0.2132393080421368,0.16830913264697145,0.19535099077988355,0.23754463455499258,0.5191945586307803,0.6749723288363658,0.31922067422760875,0.6467813394364585,0.3181135354817922,0.39058783020226895,0.24338157308753272,0.3743773649094043,0.2722005539043911,0.2579644408751425,0.2231179674501926,0.21488965643716243
BIDMC_5,1,0.3588660358030382,0.2184302443109922,0.04822467301741573,0.32053270081553326,0.23886697679272276,0.12882723501345245,0.47421448205865524,0.27521430625054044,0.21761891817688067,0.34691076494666995,0.8393622798270155,0.21684024144473124,0.21757962617408255,0.16381629416704083,0.2423928832845011,0.3056067126178874,0.4959197258116241,0.46888773399336825,0.6114446876552763,0.291274834166518,0.28763272845691557,0.3199351881007042,0.29218504108753435,0.2145301718415643,0.2179925903507577,0.24157822318555983,0.2363413512646448
BIDMC_6,1,0.2227824909380947,0.14420493246192742,0.04653601141530188,0.18542206856530724,0.13794104545046534,0.06298541524324924,0.3667517063954352,0.15505199034881273,0.09544595734309817,0.2763564945467226,0.5017949306030294,0.11871755913435747,0.1090952085308807,0.09443609650048135,0.16193663925099228,0.17382715771991689,0.2196340704636468,0.23379425550833643,0.44077494844590254,0.16873427153763446,0.12873188255843884,0.13353164411293297,0.19559260274827803,0.13887596177342715,0.15641105231821378,0.14809965509511241,0.11273392347539514
